iter	Passed	Remaining
0	62	12375
1	126	12479
2	189	12456
3	254	12464
4	315	12300
5	378	12232
6	440	12150
7	502	12068
8	566	12017
9	628	11935
10	689	11844
11	752	11782
12	813	11708
13	877	11659
14	941	11612
15	1003	11542
16	1066	11477
17	1127	11401
18	1190	11345
19	1253	11279
20	1314	11208
21	1375	11128
22	1436	11058
23	1501	11012
24	1563	10944
25	1625	10878
26	1686	10808
27	1749	10747
28	1812	10687
29	1874	10623
30	1937	10561
31	1998	10494
32	2062	10435
33	2125	10379
34	2188	10317
35	2249	10246
36	2310	10180
37	2373	10116
38	2434	10050
39	2497	9990
40	2558	9920
41	2619	9854
42	2681	9789
43	2741	9718
44	2801	9650
45	2863	9586
46	2925	9523
47	2989	9466
48	3050	9400
49	3113	9339
50	3174	9273
51	3237	9213
52	3300	9153
53	3362	9090
54	3424	9029
55	3489	8972
56	3551	8910
57	3611	8842
58	3673	8778
59	3737	8720
60	3797	8652
61	3857	8586
62	3919	8523
63	3979	8456
64	4041	8394
65	4103	8332
66	4164	8266
67	4224	8200
68	4283	8133
69	4347	8073
70	4407	8008
71	4469	7945
72	4531	7882
73	4594	7822
74	4655	7759
75	4715	7694
76	4779	7635
77	4841	7572
78	4904	7511
79	4966	7449
80	5027	7385
81	5089	7323
82	5150	7260
83	5215	7202
84	5276	7138
85	5336	7074
86	5402	7016
87	5463	6953
88	5526	6892
89	5588	6830
90	5650	6767
91	5712	6706
92	5775	6644
93	5836	6581
94	5895	6516
95	5959	6456
96	6020	6392
97	6083	6331
98	6143	6267
99	6206	6206
100	6269	6145
101	6331	6082
102	6394	6022
103	6455	5958
104	6516	5895
105	6577	5832
106	6637	5769
107	6699	5706
108	6760	5643
109	6821	5581
110	6883	5519
111	6942	5454
112	7005	5393
113	7066	5331
114	7129	5269
115	7190	5206
116	7252	5144
117	7316	5084
118	7378	5022
119	7441	4960
120	7502	4898
121	7563	4835
122	7626	4774
123	7688	4712
124	7749	4649
125	7812	4588
126	7874	4526
127	7935	4463
128	7995	4400
129	8059	4339
130	8120	4277
131	8184	4216
132	8256	4159
133	8324	4100
134	8385	4037
135	8445	3974
136	8506	3911
137	8568	3849
138	8632	3788
139	8693	3725
140	8753	3662
141	8815	3600
142	8877	3538
143	8936	3475
144	8997	3412
145	9058	3350
146	9118	3287
147	9179	3225
148	9241	3163
149	9302	3100
150	9364	3038
151	9426	2976
152	9487	2914
153	9548	2852
154	9607	2789
155	9669	2727
156	9730	2665
157	9793	2603
158	9854	2540
159	9915	2478
160	9977	2416
161	10039	2354
162	10099	2292
163	10173	2233
164	10238	2171
165	10301	2109
166	10363	2047
167	10424	1985
168	10486	1923
169	10546	1861
170	10608	1799
171	10671	1737
172	10733	1675
173	10795	1613
174	10856	1550
175	10917	1488
176	10979	1426
177	11040	1364
178	11102	1302
179	11163	1240
180	11224	1178
181	11287	1116
182	11348	1054
183	11410	992
184	11471	930
185	11534	868
186	11597	806
187	11658	744
188	11719	682
189	11779	619
190	11840	557
191	11903	495
192	11963	433
193	12025	371
194	12085	309
195	12148	247
196	12211	185
197	12272	123
198	12333	61
199	12393	0
