iter	Logloss
0	0.6604427136
1	0.6332613337
2	0.6114281091
3	0.600185856
4	0.5903682913
5	0.5809350624
6	0.5677190384
7	0.5617997935
8	0.556186174
9	0.5515032448
10	0.5468676823
11	0.5418145244
12	0.5379359292
13	0.534240404
14	0.5303203632
15	0.5248227644
16	0.5227335761
17	0.5185728731
18	0.5172247667
19	0.5139350187
20	0.5110856018
21	0.5088556725
22	0.5077703134
23	0.5067954791
24	0.5052282222
25	0.5043226771
26	0.5034429234
27	0.5027621605
28	0.5022043179
29	0.5017605034
30	0.5011900504
31	0.5004835275
32	0.5000193938
33	0.4989588499
34	0.4984447947
35	0.4981221835
36	0.4978817162
37	0.4974796164
38	0.4971524837
39	0.4968203852
40	0.4965250995
41	0.4962311248
42	0.4960547248
43	0.495839538
44	0.4956384918
45	0.4954025722
46	0.4952197368
47	0.49507522
48	0.4944915902
49	0.4943201208
50	0.4941512683
51	0.4940273902
52	0.4938842439
53	0.4937353184
54	0.4935937821
55	0.4934462018
56	0.4933886775
57	0.4932252238
58	0.493106443
59	0.4930083028
60	0.4926597396
61	0.4925780753
62	0.4924251661
63	0.4923284535
64	0.4922516746
65	0.49216375
66	0.4920564704
67	0.4919686081
68	0.491674697
69	0.4916321843
70	0.4915556405
71	0.4914921539
72	0.4914444626
73	0.4912453365
74	0.4911928534
75	0.4911452664
76	0.4910654926
77	0.4910236194
78	0.4909539061
79	0.4908999432
80	0.4907945183
81	0.4907315406
82	0.4906778406
83	0.4906580373
84	0.4905963545
85	0.490540466
86	0.4905026033
87	0.4904775104
88	0.4904380109
89	0.4903734749
90	0.4902071047
91	0.4901457609
92	0.490094519
93	0.4900531959
94	0.4900245175
95	0.4899940278
96	0.4899546085
97	0.4899095881
98	0.4898824839
99	0.4897306987
100	0.4896929562
101	0.4896644345
102	0.4896286989
103	0.4895863886
104	0.489556965
105	0.4895343206
106	0.4894986092
107	0.4894557267
108	0.4894088486
109	0.489382103
110	0.4893616942
111	0.4893342657
112	0.4893043969
113	0.4892766288
114	0.4892545369
115	0.4892370253
116	0.4892088349
117	0.489081987
118	0.489053602
119	0.4890271415
120	0.4889986693
121	0.488985093
122	0.4889430568
123	0.4889252877
124	0.4888989634
125	0.4888617909
126	0.4888384427
127	0.4888134367
128	0.4887843954
129	0.4887069766
130	0.4886898799
131	0.488670118
132	0.4886342127
133	0.4886019704
134	0.4885803658
135	0.4885653687
136	0.4885508624
137	0.4885286619
138	0.4885148136
139	0.4884869275
140	0.4884564986
141	0.4884398776
142	0.488405427
143	0.488378753
144	0.4883576615
145	0.4882791931
146	0.4882603882
147	0.4882393032
148	0.488180643
149	0.4881673435
150	0.4881528791
151	0.48814151
152	0.4881220854
153	0.4880965537
154	0.4880826695
155	0.4880669426
156	0.4880523843
157	0.4880297592
158	0.4880218049
159	0.488013279
160	0.4879953932
161	0.4879810556
162	0.4879562881
163	0.4879393116
164	0.487914028
165	0.4878969955
166	0.4878421505
167	0.487824408
168	0.4877777036
169	0.4877656093
170	0.4877477061
171	0.4877412024
172	0.4877319756
173	0.4877105621
174	0.4876900629
175	0.4876721465
176	0.4876560224
177	0.4876375625
178	0.4876246414
179	0.487612049
180	0.487588255
181	0.4875707229
182	0.4875555004
183	0.4875344044
184	0.4875247336
185	0.4875108979
186	0.4874682488
187	0.4874547652
188	0.4874398028
189	0.487422069
190	0.4873982905
191	0.4873880698
192	0.487370319
193	0.4873382018
194	0.4873217754
195	0.4873125749
196	0.4872935327
197	0.4872787384
198	0.4872630535
199	0.4872420197
200	0.4872318369
201	0.487199616
202	0.4871741655
203	0.48715867
204	0.4871413206
205	0.4871151796
206	0.4871057313
207	0.4870970796
208	0.4870926117
209	0.4870776472
210	0.4870629117
211	0.4870414995
212	0.487018043
213	0.4870118795
214	0.4869961648
215	0.4869789079
216	0.4869567463
217	0.4869380849
218	0.4869270202
219	0.4869165468
220	0.4869038489
221	0.4868823068
222	0.4868715059
223	0.4868474657
224	0.4868397378
225	0.4868165811
226	0.4867983583
227	0.4867841911
228	0.4867766491
229	0.4867564529
230	0.4867384425
231	0.4867173787
232	0.4866981525
233	0.4866804121
234	0.4866646317
235	0.4866495796
236	0.4866319881
237	0.4866183676
238	0.4866041169
239	0.4865916323
240	0.4865738801
241	0.4865484431
242	0.4865314985
243	0.4865165933
244	0.4865001914
245	0.4864871629
246	0.4864741106
247	0.4864627558
248	0.4864440302
249	0.486429937
250	0.486410366
251	0.4864051318
252	0.4863930014
253	0.4863775849
254	0.4863670032
255	0.4863497248
256	0.4863261767
257	0.4863016089
258	0.4862840261
259	0.4862684821
260	0.4862542183
261	0.4862432674
262	0.486229149
263	0.4862082723
264	0.4861972713
265	0.4861815643
266	0.4861552239
267	0.4861370666
268	0.4861146586
269	0.4861107449
270	0.4861035941
271	0.4860930032
272	0.4860737761
273	0.486065371
274	0.4860513551
275	0.4860399922
276	0.4860173178
277	0.4859992053
278	0.4859903315
279	0.485970014
280	0.485944303
281	0.4859250184
282	0.4859071536
283	0.485886014
284	0.4858785196
285	0.4858614674
286	0.485848091
287	0.4858284073
288	0.4858010557
289	0.4857903422
290	0.4857714659
291	0.485750681
292	0.4857312589
293	0.4857164568
294	0.4856964896
295	0.4856794806
296	0.4856693062
297	0.4856525254
298	0.4856288022
299	0.4856182196
