iter	Passed	Remaining
0	32	9735
1	66	9884
2	98	9793
3	129	9588
4	161	9505
5	191	9391
6	220	9248
7	253	9244
8	284	9213
9	317	9198
10	348	9152
11	378	9094
12	407	8988
13	438	8965
14	468	8903
15	504	8952
16	538	8971
17	571	8954
18	605	8953
19	643	9005
20	673	8942
21	703	8895
22	736	8871
23	755	8686
24	787	8662
25	819	8641
26	848	8576
27	878	8530
28	909	8495
29	939	8457
30	974	8455
31	1003	8407
32	1031	8348
33	1064	8330
34	1095	8291
35	1126	8262
36	1160	8245
37	1191	8213
38	1225	8199
39	1255	8163
40	1289	8144
41	1319	8106
42	1350	8074
43	1377	8014
44	1405	7965
45	1439	7950
46	1470	7917
47	1501	7884
48	1530	7839
49	1560	7804
50	1594	7787
51	1628	7765
52	1660	7736
53	1690	7700
54	1718	7656
55	1750	7626
56	1778	7582
57	1808	7545
58	1839	7515
59	1875	7500
60	1906	7467
61	1935	7428
62	1965	7393
63	1997	7364
64	2026	7326
65	2056	7292
66	2089	7266
67	2119	7232
68	2148	7194
69	2179	7161
70	2222	7167
71	2254	7138
72	2286	7110
73	2318	7081
74	2348	7045
75	2377	7008
76	2409	6978
77	2440	6944
78	2470	6910
79	2498	6869
80	2526	6832
81	2555	6795
82	2588	6768
83	2622	6743
84	2654	6713
85	2684	6679
86	2716	6649
87	2746	6615
88	2778	6587
89	2811	6559
90	2843	6529
91	2875	6501
92	2911	6481
93	2950	6466
94	2997	6468
95	3046	6474
96	3092	6472
97	3149	6491
98	3206	6510
99	3254	6509
100	3306	6514
101	3362	6526
102	3405	6513
103	3465	6531
104	3518	6534
105	3581	6554
106	3654	6591
107	3696	6571
108	3734	6543
109	3763	6500
110	3793	6459
111	3823	6417
112	3856	6381
113	3886	6341
114	3913	6295
115	3949	6265
116	3979	6224
117	4009	6184
118	4039	6144
119	4070	6106
120	4101	6067
121	4131	6027
122	4162	5990
123	4200	5962
124	4242	5939
125	4279	5910
126	4321	5887
127	4360	5858
128	4402	5835
129	4436	5801
130	4466	5761
131	4498	5725
132	4528	5686
133	4561	5650
134	4595	5616
135	4627	5580
136	4656	5540
137	4689	5505
138	4718	5465
139	4749	5427
140	4784	5394
141	4813	5356
142	4844	5318
143	4877	5283
144	4912	5251
145	4944	5215
146	4977	5180
147	5006	5141
148	5034	5102
149	5064	5064
150	5094	5026
151	5125	4990
152	5153	4951
153	5185	4916
154	5217	4880
155	5256	4852
156	5286	4815
157	5322	4783
158	5362	4755
159	5398	4723
160	5438	4695
161	5476	4664
162	5507	4628
163	5538	4592
164	5570	4557
165	5603	4523
166	5633	4486
167	5663	4449
168	5692	4412
169	5726	4379
170	5758	4343
171	5786	4306
172	5815	4269
173	5844	4232
174	5873	4195
175	5901	4157
176	5934	4123
177	5962	4086
178	5990	4049
179	6022	4014
180	6052	3979
181	6081	3943
182	6109	3906
183	6135	3867
184	6164	3832
185	6196	3797
186	6227	3762
187	6255	3726
188	6284	3691
189	6314	3655
190	6345	3621
191	6372	3584
192	6400	3548
193	6430	3513
194	6464	3480
195	6492	3445
196	6519	3408
197	6551	3375
198	6581	3340
199	6610	3305
200	6641	3270
201	6669	3235
202	6701	3202
203	6744	3173
204	6789	3146
205	6837	3119
206	6881	3091
207	6935	3067
208	6984	3041
209	7036	3015
210	7091	2991
211	7145	2966
212	7193	2938
213	7252	2914
214	7306	2888
215	7351	2858
216	7405	2832
217	7454	2804
218	7493	2771
219	7521	2735
220	7549	2698
221	7580	2663
222	7607	2626
223	7634	2590
224	7662	2554
225	7692	2518
226	7727	2484
227	7758	2449
228	7787	2414
229	7816	2378
230	7843	2342
231	7872	2307
232	7902	2272
233	7932	2237
234	7963	2202
235	7992	2167
236	8023	2132
237	8055	2098
238	8082	2063
239	8110	2027
240	8137	1992
241	8166	1957
242	8195	1922
243	8226	1888
244	8257	1853
245	8287	1819
246	8316	1784
247	8348	1750
248	8376	1715
249	8403	1680
250	8432	1646
251	8459	1611
252	8487	1576
253	8519	1542
254	8548	1508
255	8585	1475
256	8612	1440
257	8643	1407
258	8675	1373
259	8704	1339
260	8735	1305
261	8766	1271
262	8793	1237
263	8823	1203
264	8851	1169
265	8881	1135
266	8913	1101
267	8943	1067
268	8983	1035
269	9012	1001
270	9041	967
271	9070	933
272	9100	900
273	9128	866
274	9156	832
275	9187	798
276	9215	765
277	9242	731
278	9271	697
279	9299	664
280	9328	630
281	9355	597
282	9379	563
283	9409	530
284	9440	496
285	9464	463
286	9493	430
287	9525	396
288	9557	363
289	9588	330
290	9613	297
291	9639	264
292	9669	231
293	9699	197
294	9727	164
295	9760	131
296	9789	98
297	9817	65
298	9846	32
299	9876	0
